Datum,Filial_ID,Artikel,Verkauf_Ist,Forecast
2024-04-01,DE00,Artikel_005,28,31
2024-04-01,DE00,Artikel_006,23,27
2024-04-01,DE00,Artikel_017,32,32
2024-04-01,DE00,Artikel_014,24,26
2024-04-01,DE00,Artikel_001,27,23
2024-04-01,DE01,Artikel_019,32,31
2024-04-01,DE01,Artikel_008,26,31
2024-04-01,DE01,Artikel_007,25,25
2024-04-01,DE01,Artikel_004,31,28
2024-04-01,DE01,Artikel_014,27,29
2024-04-01,DE02,Artikel_008,33,34
2024-04-01,DE02,Artikel_014,26,24
2024-04-01,DE02,Artikel_018,27,24
2024-04-01,DE02,Artikel_011,21,22
2024-04-01,DE02,Artikel_002,17,15
2024-04-01,DE03,Artikel_012,36,35
2024-04-01,DE03,Artikel_005,26,28
2024-04-01,DE03,Artikel_006,35,35
2024-04-01,DE03,Artikel_014,33,31
2024-04-01,DE03,Artikel_002,37,37
2024-04-01,DE04,Artikel_015,27,25
2024-04-01,DE04,Artikel_011,34,31
2024-04-01,DE04,Artikel_020,38,41
2024-04-01,DE04,Artikel_004,34,33
2024-04-01,DE04,Artikel_008,35,27
2024-04-01,DE05,Artikel_012,27,30
2024-04-01,DE05,Artikel_014,39,46
2024-04-01,DE05,Artikel_020,25,24
2024-04-01,DE05,Artikel_010,26,29
2024-04-01,DE05,Artikel_008,35,37
2024-04-01,DE06,Artikel_020,38,37
2024-04-01,DE06,Artikel_008,25,25
2024-04-01,DE06,Artikel_005,29,29
2024-04-01,DE06,Artikel_015,41,39
2024-04-01,DE06,Artikel_013,30,32
2024-04-01,DE07,Artikel_020,44,45
2024-04-01,DE07,Artikel_014,30,31
2024-04-01,DE07,Artikel_009,18,23
2024-04-01,DE07,Artikel_007,39,40
2024-04-01,DE07,Artikel_002,33,30
2024-04-01,DE08,Artikel_013,25,29
2024-04-01,DE08,Artikel_010,32,29
2024-04-01,DE08,Artikel_002,27,28
2024-04-01,DE08,Artikel_007,33,32
2024-04-01,DE08,Artikel_009,30,28
2024-04-01,DE09,Artikel_009,33,36
2024-04-01,DE09,Artikel_013,41,39
2024-04-01,DE09,Artikel_007,26,26
2024-04-01,DE09,Artikel_016,36,32
2024-04-01,DE09,Artikel_015,38,40
2024-04-01,ÖS00,Artikel_006,27,29
2024-04-01,ÖS00,Artikel_013,32,34
2024-04-01,ÖS00,Artikel_020,24,25
2024-04-01,ÖS00,Artikel_012,31,30
2024-04-01,ÖS00,Artikel_001,32,30
2024-04-01,ÖS01,Artikel_009,27,30
2024-04-01,ÖS01,Artikel_001,32,36
2024-04-01,ÖS01,Artikel_013,21,26
2024-04-01,ÖS01,Artikel_011,26,27
2024-04-01,ÖS01,Artikel_019,38,41
2024-04-01,ÖS02,Artikel_007,35,35
2024-04-01,ÖS02,Artikel_002,24,31
2024-04-01,ÖS02,Artikel_009,26,24
2024-04-01,ÖS02,Artikel_005,39,42
2024-04-01,ÖS02,Artikel_008,29,27
2024-04-01,ÖS03,Artikel_020,37,33
2024-04-01,ÖS03,Artikel_007,24,25
2024-04-01,ÖS03,Artikel_015,31,33
2024-04-01,ÖS03,Artikel_006,23,24
2024-04-01,ÖS03,Artikel_019,33,36
2024-04-01,ÖS04,Artikel_014,28,30
2024-04-01,ÖS04,Artikel_004,30,33
